Pension Scheme Id,Pension Scheme
SM011004,TATA PENSION MANAGEMENT PRIVATE LIMITED SCHEME A - TIER I
SM011005,TATA PENSION FUND MANAGEMENT PRIVATE LIMITED SCHEME E - TIER II
SM011005,TATA PENSION FUND MANAGEMENT PRIVATE LIMITED SCHEME E - TIER II POP
SM011005,TATA PENSION MANAGEMENT LIMITED SCHEME E - TIER II
SM011005,TATA PENSION MANAGEMENT PRIVATE LIMITED SCHEME E - TIER II
SM011006,TATA PENSION FUND MANAGEMENT PRIVATE LIMITED SCHEME C - TIER II
SM011006,TATA PENSION FUND MANAGEMENT PRIVATE LIMITED SCHEME C - TIER II POP
SM011006,TATA PENSION MANAGEMENT LIMITED SCHEME C - TIER II
SM011006,TATA PENSION MANAGEMENT PRIVATE LIMITED SCHEME C - TIER II
SM011007,TATA PENSION FUND MANAGEMENT PRIVATE LIMITED SCHEME G - TIER II
SM011007,TATA PENSION FUND MANAGEMENT PRIVATE LIMITED SCHEME G - TIER II POP
SM011007,TATA PENSION MANAGEMENT LIMITED SCHEME G - TIER II
SM011007,TATA PENSION MANAGEMENT PRIVATE LIMITED SCHEME G - TIER II
SM011008,TATA PENSION FUND MANAGEMENT PRIVATE LIMITED TAX SAVER - TIER II
SM011008,TATA PENSION MANAGEMENT LIMITED TAX SAVER - TIER II
SM011008,TATA PENSION MANAGEMENT PRIVATE LIMITED TAX SAVER - TIER II
SM011009,NPS TRUST A/C - TATA PENSION FUND NPS SMART RETIREMENT FUND - TIER I
SM011010,NPS TRUST - A/C TATA PENSION FUND - NPS VATSALYA SCHEME
SM011010,NPS TRUST - A/C TATA PENSION FUND - NPS VATSALYA SCHEME DIRECT
SM011011,NPS TRUST A/C TATA PENSION FUND MANAGEMENT PRIVATE LIMITED SCHEME E - TIER I GS
SM011012,NPS TRUST A/C TATA PENSION FUND MANAGEMENT PRIVATE LIMITED SCHEME C - TIER I GS
SM011013,NPS TRUST A/C TATA PENSION FUND MANAGEMENT PRIVATE LIMITED SCHEME G - TIER I GS
SM011014,NPS TRUST A/C TATA PENSION FUND MANAGEMENT PRIVATE LIMITED SCHEME E - TIER I DIRECT
SM011015,NPS TRUST A/C TATA PENSION FUND MANAGEMENT PRIVATE LIMITED SCHEME C - TIER I DIRECT
SM011016,NPS TRUST A/C TATA PENSION FUND MANAGEMENT PRIVATE LIMITED SCHEME G - TIER I DIRECT
SM011017,NPS TRUST A/C TATA PENSION FUND MANAGEMENT PRIVATE LIMITED SCHEME E - TIER II DIRECT
SM011018,NPS TRUST A/C TATA PENSION FUND MANAGEMENT PRIVATE LIMITED SCHEME C - TIER II DIRECT
SM011019,NPS TRUST A/C TATA PENSION FUND MANAGEMENT PRIVATE LIMITED SCHEME G - TIER II DIRECT
SM011020,NPS TRUST - A/C TATA PENSION FUND - NPS VATSALYA SCHEME POP
SM011021,NPS TRUST A/C - TATA PENSION NPS SWASTHYA FUND
SM012001,MAX LIFE PENSION FUND MANAGEMENT LIMITED SCHEME E - TIER I
SM012002,MAX LIFE PENSION FUND MANAGEMENT LIMITED SCHEME C - TIER I
SM012003,MAX LIFE PENSION FUND MANAGEMENT LIMITED SCHEME G - TIER I
SM012004,MAX LIFE PENSION FUND MANAGEMENT LIMITED SCHEME A - TIER I
SM012005,MAX LIFE PENSION FUND MANAGEMENT LIMITED SCHEME E - TIER II
SM012006,MAX LIFE PENSION FUND MANAGEMENT LIMITED SCHEME C - TIER II
SM012007,MAX LIFE PENSION FUND MANAGEMENT LIMITED SCHEME G - TIER II
SM012008,MAX LIFE PENSION FUND MANAGEMENT LIMITED TAX SAVER TIER II
SM013001,AXIS PENSION FUND MANAGEMENT LIMITED SCHEME E - TIER I
SM013001,AXIS PENSION FUND MANAGEMENT LIMITED SCHEME E - TIER I POP
SM013002,AXIS PENSION FUND MANAGEMENT LIMITED SCHEME C - TIER I
SM013002,AXIS PENSION FUND MANAGEMENT LIMITED SCHEME C - TIER I POP
SM013003,AXIS PENSION FUND MANAGEMENT LIMITED SCHEME G - TIER I
SM013003,AXIS PENSION FUND MANAGEMENT LIMITED SCHEME G - TIER I POP
SM013004,AXIS PENSION FUND MANAGEMENT LIMITED SCHEME A - TIER I
SM013005,AXIS PENSION FUND MANAGEMENT LIMITED SCHEME E - TIER II
SM013005,AXIS PENSION FUND MANAGEMENT LIMITED SCHEME E - TIER II POP
SM013006,AXIS PENSION FUND MANAGEMENT LIMITED SCHEME C - TIER II
SM013006,AXIS PENSION FUND MANAGEMENT LIMITED SCHEME C - TIER II POP
SM013007,AXIS PENSION FUND MANAGEMENT LIMITED SCHEME G - TIER II
SM013007,AXIS PENSION FUND MANAGEMENT LIMITED SCHEME G - TIER II POP
SM013008,AXIS PENSION FUND MANAGEMENT LIMITED SCHEME TAX SAVER - TIER II
SM013009,NPS TRUST A/C - AXIS NPS GOLDEN YEARS FUND - GROWTH - TIER I
SM013009,NPS TRUST A/C - AXIS PF NPS GOLDEN YEARS FUND - GROWTH - TIER I
SM013010,NPS TRUST - A/C AXIS PENSION FUND - NPS VATSALYA SCHEME
SM013010,NPS TRUST - A/C AXIS PENSION FUND - NPS VATSALYA SCHEME DIRECT
SM013011,NPS TRUST A/C AXIS PENSION FUND MANAGEMENT LIMITED SCHEME E - TIER I GS
SM013012,NPS TRUST A/C AXIS PENSION FUND MANAGEMENT LIMITED SCHEME C - TIER I GS
SM013013,NPS TRUST A/C AXIS PENSION FUND MANAGEMENT LIMITED SCHEME G - TIER I GS
SM013014,NPS TRUST A/C AXIS PENSION FUND MANAGEMENT LIMITED SCHEME E - TIER I DIRECT
SM013015,NPS TRUST A/C AXIS PENSION FUND MANAGEMENT LIMITED SCHEME C - TIER I DIRECT
SM013016,NPS TRUST A/C AXIS PENSION FUND MANAGEMENT LIMITED SCHEME G - TIER I DIRECT
SM013017,NPS TRUST A/C AXIS PENSION FUND MANAGEMENT LIMITED SCHEME E - TIER II DIRECT
SM013018,NPS TRUST A/C AXIS PENSION FUND MANAGEMENT LIMITED SCHEME C - TIER II DIRECT
SM013019,NPS TRUST A/C AXIS PENSION FUND MANAGEMENT LIMITED SCHEME G - TIER II DIRECT
SM013020,NPS TRUST - A/C AXIS PENSION FUND - NPS VATSALYA SCHEME POP
SM013021,NPS TRUST - A/C AXIS NPS SWASTHYATOP-UP PLUS
SM014001,NPS TRUST A/C - DSP PENSION FUND MANAGERS PRIVATE LIMITED SCHEME E - TIER I
SM014001,NPS TRUST A/C DSP PENSION FUND MANAGERS PRIVATE LIMITED SCHEME E - TIER I
SM014001,NPS TRUST A/C DSP PENSION FUND MANAGERS PRIVATE LIMITED SCHEME E - TIER I POP
SM014002,NPS TRUST A/C - DSP PENSION FUND MANAGERS PRIVATE LIMITED SCHEME C - TIER I
SM014002,NPS TRUST A/C DSP PENSION FUND MANAGERS PRIVATE LIMITED SCHEME C - TIER I
SM014002,NPS TRUST A/C DSP PENSION FUND MANAGERS PRIVATE LIMITED SCHEME C - TIER I POP
SM014003,NPS TRUST A/C - DSP PENSION FUND MANAGERS PRIVATE LIMITED SCHEME G - TIER I
SM014003,NPS TRUST A/C DSP PENSION FUND MANAGERS PRIVATE LIMITED SCHEME G - TIER I
SM014003,NPS TRUST A/C DSP PENSION FUND MANAGERS PRIVATE LIMITED SCHEME G - TIER I POP
SM014004,NPS TRUST A/C - DSP PENSION FUND MANAGERS PRIVATE LIMITED SCHEME A - TIER I
SM014004,NPS TRUST A/C DSP PENSION FUND MANAGERS PRIVATE LIMITED SCHEME A - TIER I
SM014005,NPS TRUST A/C - DSP PENSION FUND MANAGERS PRIVATE LIMITED SCHEME E - TIER II
SM014005,NPS TRUST A/C DSP PENSION FUND MANAGERS PRIVATE LIMITED SCHEME E - TIER II
SM014005,NPS TRUST A/C DSP PENSION FUND MANAGERS PRIVATE LIMITED SCHEME E - TIER II POP
SM014006,NPS TRUST A/C - DSP PENSION FUND MANAGERS PRIVATE LIMITED SCHEME C - TIER II
SM014006,NPS TRUST A/C DSP PENSION FUND MANAGERS PRIVATE LIMITED SCHEME C - TIER II
SM014006,NPS TRUST A/C DSP PENSION FUND MANAGERS PRIVATE LIMITED SCHEME C - TIER II POP
SM014007,NPS TRUST A/C - DSP PENSION FUND MANAGERS PRIVATE LIMITED SCHEME G - TIER II
SM014007,NPS TRUST A/C DSP PENSION FUND MANAGERS PRIVATE LIMITED SCHEME G - TIER II
SM014007,NPS TRUST A/C DSP PENSION FUND MANAGERS PRIVATE LIMITED SCHEME G - TIER II POP
SM014008,NPS TRUST A/C - DSP PENSION FUND MANAGERS PRIVATE LIMITED SCHEME TAX SAVER TIER II
SM014008,NPS TRUST A/C DSP PENSION FUND MANAGERS PRIVATE LIMITED SCHEME TAX SAVER TIER II
SM014009,NPS TRUST A/C - DSP NPS LONG TERM EQUITY FUND - TIER I
SM014009,NPS TRUST A/C - DSP PF NPS LONG TERM EQUITY FUND - TIER I
SM014010,NPS TRUST - A/C DSP PENSION FUND - NPS VATSALYA SCHEME
SM014010,NPS TRUST - A/C DSP PENSION FUND - NPS VATSALYA SCHEME DIRECT
SM014011,NPS TRUST A/C DSP PENSION FUND MANAGERS PRIVATE LIMITED SCHEME E - TIER I GS
SM014012,NPS TRUST A/C DSP PENSION FUND MANAGERS PRIVATE LIMITED SCHEME C - TIER I GS
SM014013,NPS TRUST A/C DSP PENSION FUND MANAGERS PRIVATE LIMITED SCHEME G - TIER I GS
SM014014,NPS TRUST A/C DSP PENSION FUND MANAGERS PRIVATE LIMITED SCHEME E - TIER I DIRECT
SM014015,NPS TRUST A/C DSP PENSION FUND MANAGERS PRIVATE LIMITED SCHEME C - TIER I DIRECT
SM014016,NPS TRUST A/C DSP PENSION FUND MANAGERS PRIVATE LIMITED SCHEME G - TIER I DIRECT
SM014017,NPS TRUST A/C DSP PENSION FUND MANAGERS PRIVATE LIMITED SCHEME E - TIER II DIRECT
SM014018,NPS TRUST A/C DSP PENSION FUND MANAGERS PRIVATE LIMITED SCHEME C - TIER II DIRECT
SM014019,NPS TRUST A/C DSP PENSION FUND MANAGERS PRIVATE LIMITED SCHEME G - TIER II DIRECT
SM014020,NPS TRUST - A/C DSP PENSION FUND - NPS VATSALYA SCHEME POP
